"Дата";"Регион";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
12.05.2021;Москва;1124630;1015097;19013;59;2718;2394
25.11.2021;Москва;1930050;1750445;33727;92;3349;5161
04.07.2021;Москва;1387775;1182540;22895;111;7624;5747
27.08.2020;Москва;259707;209628;4776;12;637;1435
07.01.2022;Москва;2046700;1884960;37255;72;3694;2223
19.03.2021;Москва;1008224;928156;16024;51;1809;1902
29.07.2020;Москва;239986;176437;4434;13;671;625
08.07.2020;Москва;226795;160913;4027;28;621;1195
13.04.2021;Москва;1051931;963086;17360;58;1782;1694
14.06.2020;Москва;205905;121691;3281;50;1477;2133
20.09.2021;Москва;1604249;1474697;28395;48;2469;1223
17.02.2021;Москва;960687;876141;14523;59;1282;2243
16.04.2020;Москва;16146;1394;113;7;1370;189
05.01.2021;Москва;833412;659076;11582;75;4842;6752
29.10.2021;Москва;1802521;1583191;31151;93;7511;5134
28.03.2020;Москва;817;18;5;2;114;0
01.12.2020;Москва;612248;458409;8978;76;6524;6225
05.08.2021;Москва;1519621;1378924;25994;68;3227;4477
16.08.2021;Москва;1543648;1412329;26651;54;1489;2152
24.11.2020;Москва;566417;416242;8455;76;5838;5601
26.11.2021;Москва;1933979;1755581;33821;94;3929;5136
11.05.2021;Москва;1121912;1012703;18954;61;2628;2051
24.10.2020;Москва;391361;287910;6312;63;4453;2639
06.01.2022;Москва;2043006;1882737;37183;67;2357;2238
26.08.2020;Москва;259070;208193;4764;11;640;1389
05.07.2021;Москва;1394332;1188188;23001;106;6557;5648
30.07.2020;Москва;240664;177908;4446;12;678;1471
18.03.2021;Москва;1006415;926254;15973;48;1934;1760
14.04.2021;Москва;1053768;964837;17412;52;1837;1751
07.07.2020;Москва;226174;159718;3999;24;629;2066
05.09.2021;Москва;1575355;1454400;27696;48;1542;1158
27.10.2020;Москва;405352;296474;6503;61;4312;3269
21.12.2020;Москва;743697;572541;10469;75;7797;4798
08.07.2021;Москва;1411491;1207500;23328;109;6040;6805
01.04.2020;Москва;1880;115;16;5;267;45
17.01.2021;Москва;891648;739340;12468;67;4012;4612
25.10.2021;Москва;1774707;1564430;30786;83;7778;3892
14.05.2020;Москва;130716;23327;1290;58;4712;1821
02.10.2021;Москва;1641945;1494342;29111;67;4032;2116
13.02.2021;Москва;954619;867780;14290;67;1963;2680
25.05.2020;Москва;166473;53586;2034;41;2560;3746
26.04.2021;Москва;1082996;984346;18090;55;2687;1125
03.07.2020;Москва;223530;154839;3904;34;659;1591
11.08.2020;Москва;248922;191598;4599;14;694;1043
14.03.2021;Москва;1000394;920388;15764;55;1905;1110
23.01.2022;Москва;2174536;1923786;38368;73;17528;2815
15.09.2020;Москва;272523;231483;5006;13;730;1086
07.06.2021;Москва;1201273;1077914;20528;59;3266;1568
25.12.2021;Москва;2017422;1852320;36349;72;2714;3108
31.05.2021;Москва;1179970;1062465;20115;55;2614;1877
26.09.2020;Москва;283760;244006;5146;17;1792;1123
30.11.2021;Москва;1946717;1772354;34202;97;2788;3816
28.10.2020;Москва;409022;300051;6578;75;3670;3577
04.09.2021;Москва;1573813;1453242;27648;55;1549;1356
31.03.2020;Москва;1613;70;11;5;387;42
09.07.2021;Москва;1418134;1214731;23430;102;6643;7231
20.12.2020;Москва;735900;567743;10394;77;7263;4790
15.05.2020;Москва;135464;24562;1358;68;4748;1235
24.10.2021;Москва;1766929;1560538;30703;84;5279;3817
18.01.2021;Москва;895327;743349;12541;73;3679;4009
24.05.2020;Москва;163913;49840;1993;59;2516;2427
12.02.2021;Москва;952656;865100;14223;63;2139;3184
03.10.2021;Москва;1646239;1496227;29176;65;4294;1885
04.07.2020;Москва;224210;156459;3929;25;680;1620
25.04.2021;Москва;1080309;983221;18035;53;2526;1339
22.01.2022;Москва;2157008;1920971;38295;69;16094;3025
15.03.2021;Москва;1001747;921424;15815;51;1353;1036
10.08.2020;Москва;248228;190555;4585;13;694;898
26.12.2021;Москва;2019602;1855083;36420;71;2180;2763
06.06.2021;Москва;1198007;1076346;20469;61;2936;1741
16.09.2020;Москва;273273;232706;5016;10;750;1223
29.11.2021;Москва;1943929;1768538;34105;93;3434;3703
25.09.2020;Москва;281968;242883;5129;14;1560;1227
